Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,total_attempts,total_points,ts_pct
Anfernee Simons,0.378,0.552,0.436,0.371,0.333,0.396,0.882,96,39,35,54,159,76,459,475.83200000000005,0.4831370319226708
Christian Wood,0.377,0.651,0.556,0.308,0.4,0.4,0.671,109,18,13,25,35,76,276,292.938,0.4733357032057911
Cameron Payne,0.376,0.462,0.386,0.429,0.533,0.339,0.771,65,57,14,30,56,35,257,247.983,0.45518171806167407
Brook Lopez,0.375,0.693,0.44,0.417,0.444,0.365,0.8,75,25,12,54,63,40,269,308.871,0.5388538032100487
Paul George,0.374,0.636,0.417,0.429,0.392,0.362,0.852,77,48,42,51,69,81,368,377.934,0.4681572688534338
Zach LaVine,0.373,0.541,0.32,0.355,0.295,0.357,0.827,98,25,31,44,84,75,357,334.97499999999997,0.42945512820512816
Bobby Portis,0.373,0.616,0.481,0.375,0.205,0.5,0.778,86,54,16,44,32,27,259,265.966,0.4909295629060839
Damian Lillard,0.372,0.593,0.417,0.412,0.273,0.364,0.875,59,12,17,33,77,96,294,289.101,0.4299027480371163
Anthony Edwards,0.371,0.607,0.333,0.321,0.411,0.308,0.766,163,21,28,56,91,107,466,464.938,0.45308528884384497
Tyus Jones,0.371,0.581,0.5,0.2,0.391,0.362,0.636,31,70,10,23,58,22,214,213.98099999999997,0.47831947424892696
Gary Trent Jr.,0.37,0.614,0.514,0.308,0.327,0.333,0.767,57,35,39,49,75,73,328,308.985,0.4290028323892036
Lonnie Walker IV,0.368,0.578,0.462,0.5,0.324,0.386,0.844,102,13,16,34,57,45,267,282.95799999999997,0.4933019525801952
Immanuel Quickley,0.368,0.561,0.361,0.364,0.3,0.265,0.87,41,36,11,30,49,46,213,185.977,0.3986816155033442
Marcus Morris Sr.,0.367,0.727,0.426,0.556,0.25,0.446,0.742,33,61,36,36,74,31,271,289.00000000000006,0.5076587970770097
Will Barton,0.367,0.426,0.304,0.421,0.25,0.372,0.875,54,23,19,32,43,24,195,168.978,0.41101868067717456
Terrence Ross,0.366,0.524,0.444,0.476,0.324,0.439,0.692,21,27,21,37,41,13,160,164.93300000000002,0.4976255129133479
Kevin Porter Jr.,0.366,0.496,0.414,0.421,0.471,0.308,0.735,113,58,19,34,78,102,404,371.202,0.41347576189627516
Josh Richardson,0.365,0.5,0.5,0.308,0.476,0.309,0.844,16,34,13,21,55,32,171,165.989,0.4484250054030689
Bradley Beal,0.364,0.643,0.465,0.55,0.333,0.385,0.873,112,43,40,27,52,71,345,377.038,0.5010604933021475
Bruce Brown,0.364,0.548,0.429,0.364,0.375,0.459,0.875,84,28,11,32,37,24,216,232.04500000000002,0.5121049611581922
Karl-Anthony Towns,0.362,0.65,0.429,0.55,0.25,0.373,0.885,123,28,20,44,59,104,378,396.985,0.4684078251840665
Shaedon Sharpe,0.362,0.615,0.364,0.45,0.45,0.333,0.65,52,11,20,20,30,20,153,159.938,0.4942459826946847
Caleb Martin,0.361,0.595,0.462,0.333,0.378,0.469,0.786,79,13,24,37,32,28,213,230.996,0.5125954198473283
Malik Beasley,0.359,0.514,0.391,0.52,0.446,0.376,0.9,35,23,25,74,109,20,286,319.93,0.5426221166892808
Wendell Carter Jr.,0.356,0.711,0.44,0.25,0.452,0.19,0.826,76,25,16,31,21,69,238,249.072,0.46406319868832907
Goran Dragic,0.354,0.489,0.333,0.545,0.421,0.395,0.654,47,27,11,19,38,26,168,161.969,0.4513179893000446
Devin Booker,0.353,0.557,0.58,0.437,0.357,0.395,0.878,115,112,71,42,86,139,565,589.0179999999999,0.4703414462757122
Jimmy Butler,0.353,0.557,0.414,0.3,0.5,0.167,0.901,106,29,10,18,12,101,276,272.10900000000004,0.4245865060541756
Shai Gilgeous-Alexander,0.352,0.59,0.464,0.533,0.313,0.364,0.919,188,125,30,16,44,185,588,602.907,0.45033388108754113
De'Andre Hunter,0.35,0.527,0.475,0.436,0.404,0.281,0.808,74,61,39,47,32,73,326,312.878,0.436834022115492
Nikola Vucevic,0.35,0.605,0.333,0.4,0.418,0.243,0.857,119,33,15,55,37,49,308,315.904,0.479281466197354
P.J. Washington,0.349,0.606,0.389,0.308,0.326,0.353,0.797,104,36,26,46,68,59,339,334.095,0.45771454405962303
Luka Doncic,0.348,0.651,0.566,0.419,0.214,0.359,0.723,172,83,31,42,103,213,644,635.7719999999999,0.4309033237542699
Jayson Tatum,0.346,0.669,0.395,0.455,0.364,0.355,0.873,157,38,33,55,124,181,588,620.249,0.46450856749146247
Dejounte Murray,0.345,0.596,0.402,0.523,0.355,0.348,0.875,94,107,65,62,66,56,450,450.0,0.47404348558907805
Fred VanVleet,0.344,0.377,0.346,0.455,0.349,0.366,0.862,53,26,22,43,82,58,284,263.027,0.4248949987076764
Kyle Lowry,0.343,0.444,0.538,0.4,0.375,0.341,0.859,54,26,10,48,88,92,318,306.98,0.42816893550546753
