Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,net_avg_pct_oct_nov,total_attempts,total_points,ts_pct
Malcolm Brogdon,1.922561788938843,-1.0968056518904228,2.0122569855107937,1.5981344718450252,0.8801030743849289,1.8988967539279864,0.7391904871750883,-0.6112561455590608,-0.7618150789180762,-1.0844891057068258,-0.8317112931785446,-0.8767618933618972,-0.39941834448233227,1.1616672731130475,-0.9517108864325666,-0.7596340128074035,0.9011683616583825
Tyrese Maxey,1.871850670803443,-0.8447992474240587,0.1764923425834965,0.4191374418173506,1.6514930944688193,0.08699612488604853,-0.7564737179903321,0.3942959408654092,0.061729534516717414,-0.007125421193868693,0.10466061693758319,0.12638905840744719,-0.09594068777012801,-0.2240271286994094,0.15732848456768314,0.16577027670769784,0.1136132840146747
Stephen Curry,1.7957839936003432,1.5672620524682812,0.9899449388506824,0.4938626056923441,0.5511279187609165,1.6212668188328512,1.2656642873933166,0.48783566983512733,-0.09513610613752899,0.4546018721688272,2.846892639420529,3.2433223728336245,0.8144922823664847,1.3710602887014132,1.6139772106575634,2.4193577014953123,2.4287784311966067
Kentavious Caldwell-Pope,1.5422284029233433,-1.0968056518904228,-2.0440133931728757,0.3361094819562466,1.6514930944688193,1.7673878373039746,-0.4094796223919543,-1.3361890450743765,-0.9578971297358841,0.3776473232750445,0.23842803266845858,-0.5543205160074651,-0.8546348295506386,-0.3444631306143165,-1.0593042582460237,-0.8622941356902375,1.4706084534953365
Jevon Carter,1.5168728438556434,-1.1088059568650115,-0.6699380616404672,0.7678548732339866,-0.5152053442962258,1.8258362446924243,0.5357801552725909,-1.3829589095592356,-0.9578971297358841,0.6085109699563925,-0.7648275853131069,-0.26770595835908095,-1.2231434127011724,-0.9057302564068216,-1.2496617622236785,-1.1078717023706692,1.5248846619543799
Jalen Brunson,1.4408061666525434,-0.10078033899955634,0.28641836910608925,-0.06242472537705185,-0.9122443252217579,0.5838075876878707,0.9186701917949389,0.7450699245018523,1.9833336325312358,-0.6997163612379125,0.1715443248030209,-0.5184936963014171,0.98790808620203,0.885763252918375,0.8856528476126233,0.7756726431165478,-0.5695068509773868
Michael Porter Jr.,1.3900950485171435,0.4992349097298821,0.4623000115422371,-1.116879815613071,1.2998299970776337,0.1454445322744982,-0.014624272228282942,-0.9620301291955039,-0.683382258590953,-0.16103451898143398,0.8403814034573979,-0.19605231894698494,-0.8546348295506386,-0.40701811358446627,-0.7696297956713316,-0.5858868957434512,1.3880827746115605
Klay Thompson,1.2886728122463436,-1.084805346915834,-0.45008600859528164,-0.4360505447520196,-0.44714151899470594,0.9637222357127926,0.08109823690230404,-1.2894191805895174,-0.09513610613752899,0.5315564210626098,0.6397302798610848,2.275998240770328,-0.9413427314684113,-1.6110528845278382,-0.17372804408910786,-0.12742798333772234,0.7826588438326104
Alec Burks,1.2886728122463436,-0.052779119101201255,0.7041372698919411,-0.7847679761686557,1.2204222008925272,0.07238402303893612,0.23664731423950658,-1.7337328931956786,-0.6441658484273913,-0.6227618123441299,-1.3667809561020463,-1.1633764510102813,-0.29103346708511646,0.8899733819787512,-1.3655315472535554,-1.360788914200197,-1.0973050026952489
Darius Garland,1.2379616941109435,-1.6488196807215054,0.9129967202848674,-0.2699946250298117,0.5511279187609165,0.8760496246301182,0.6434679780445013,-0.354021890892336,0.4538936361523334,0.6085109699563925,0.10466061693758319,0.26969633723163927,0.29424487085984885,0.1749053329875146,0.22353979029904134,0.18038629420288113,-0.31668912936965526
Patrick Williams,1.2379616941109435,-0.9048007722970025,-0.2961895714636524,0.03720882645627242,1.2998299970776337,-0.0006764861966259502,1.528901187502431,-0.9386451969530744,-0.7225986687545146,-0.5458072634503472,-0.8317112931785446,-0.9484155327739933,-0.897988780509525,-0.12652595102513942,-1.2082796961415796,-1.1393815582693758,0.42650884966753966
Bojan Bogdanovic,1.2126061350432435,-0.08878003402496756,2.0122569855107937,0.6101017494978892,1.0162307249879685,-0.24908221759753618,0.8229476826643519,-0.0032479072558929175,0.885274147951511,0.22373822548747924,1.1747999427845863,0.3771767963497833,0.8361692578459279,1.2088694534524966,0.7615066493663267,0.9710195133078515,0.5485287447949134
Tyrese Haliburton,1.1618950169078435,0.24722850526351797,-0.8458197040766156,1.4985009200117003,-0.22026210132297389,0.525359180299421,0.5836414098378844,0.48783566983512733,-0.055919695973967384,-0.5458072634503472,0.6397302798610848,1.2370204692949356,-0.20432556516734382,-0.004981037947492069,0.3890680546274368,0.5203827011741654,0.7789726460714881
Jamal Murray,1.136539457840145,-0.9048007722970025,-0.7688714855108006,0.7678548732339866,1.1069824920566615,-0.1467975046677501,-0.2180346041307803,-0.09678763622561107,0.022513124353155816,1.5319655566817842,-0.7648275853131069,-0.0885718598288409,-0.5078032218795481,-0.6035376305125495,-0.17372804408910786,-0.25404477126000913,-0.19684272701140607
Kevin Durant,1.085828339704745,1.9752724216042994,1.8693531510314232,0.5353765856228956,-1.2071875681950097,1.226740068960816,1.4571093056544906,0.18383155068354337,5.081430035452602,3.686692925707698,0.7066139877265225,-0.01691822041674487,2.4619424188041648,2.3554339164756337,2.5574883173294176,2.9818450111489545,0.7570176480040218
