Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov
Caleb Martin,0.361,0.595,0.462,0.333,0.378,0.469,0.786,79,13,24,37,32,28
Malik Beasley,0.359,0.514,0.391,0.52,0.446,0.376,0.9,35,23,25,74,109,20
Wendell Carter Jr.,0.356,0.711,0.44,0.25,0.452,0.19,0.826,76,25,16,31,21,69
Goran Dragic,0.354,0.489,0.333,0.545,0.421,0.395,0.654,47,27,11,19,38,26
Devin Booker,0.353,0.557,0.58,0.437,0.357,0.395,0.878,115,112,71,42,86,139
Jimmy Butler,0.353,0.557,0.414,0.3,0.5,0.167,0.901,106,29,10,18,12,101
Shai Gilgeous-Alexander,0.352,0.59,0.464,0.533,0.313,0.364,0.919,188,125,30,16,44,185
De'Andre Hunter,0.35,0.527,0.475,0.436,0.404,0.281,0.808,74,61,39,47,32,73
Nikola Vucevic,0.35,0.605,0.333,0.4,0.418,0.243,0.857,119,33,15,55,37,49
P.J. Washington,0.349,0.606,0.389,0.308,0.326,0.353,0.797,104,36,26,46,68,59
Luka Doncic,0.348,0.651,0.566,0.419,0.214,0.359,0.723,172,83,31,42,103,213
Jayson Tatum,0.346,0.669,0.395,0.455,0.364,0.355,0.873,157,38,33,55,124,181
Dejounte Murray,0.345,0.596,0.402,0.523,0.355,0.348,0.875,94,107,65,62,66,56
Fred VanVleet,0.344,0.377,0.346,0.455,0.349,0.366,0.862,53,26,22,43,82,58
Kyle Lowry,0.343,0.444,0.538,0.4,0.375,0.341,0.859,54,26,10,48,88,92
Jordan Poole,0.342,0.579,0.423,0.444,0.296,0.326,0.842,76,26,27,54,86,76
Julius Randle,0.342,0.583,0.521,0.286,0.31,0.338,0.766,120,48,14,58,71,128
Trae Young,0.34,0.448,0.506,0.414,0.347,0.284,0.899,143,87,58,72,74,179
Jalen Green,0.34,0.554,0.419,0.314,0.268,0.387,0.791,130,31,35,56,93,110
Joel Embiid,0.338,0.623,0.481,0.571,0.211,0.321,0.839,106,79,42,19,28,168
Gabe Vincent,0.334,0.576,0.474,0.5,0.371,0.265,0.84,33,19,10,35,49,25
Kyle Kuzma,0.333,0.614,0.515,0.313,0.38,0.25,0.731,153,33,16,71,84,78
Jalen Suggs,0.332,0.571,0.409,0.571,0.25,0.325,0.657,42,22,14,24,40,35
Pascal Siakam,0.329,0.608,0.48,0.346,0.348,0.389,0.731,79,50,26,23,18,78
Reggie Jackson,0.329,0.549,0.475,0.391,0.394,0.311,0.921,71,40,23,33,61,38
Jaylen Brown,0.328,0.621,0.605,0.529,0.286,0.32,0.832,161,43,34,35,75,101
Terry Rozier,0.328,0.526,0.368,0.174,0.25,0.329,0.794,97,38,23,40,73,34
Bennedict Mathurin,0.328,0.489,0.3,0.273,0.449,0.387,0.814,131,20,11,49,62,129
De'Aaron Fox,0.327,0.691,0.506,0.439,0.343,0.417,0.823,110,77,41,35,60,96
Dillon Brooks,0.327,0.481,0.488,0.222,0.318,0.348,0.722,108,43,27,44,69,54
Gordon Hayward,0.325,0.636,0.382,0.405,0.667,0.222,0.767,33,34,37,15,27,43
Davion Mitchell,0.323,0.659,0.2,0.538,0.3,0.375,0.727,41,10,13,20,32,11
Rui Hachimura,0.319,0.576,0.5,0.409,0.5,0.227,0.724,66,34,22,14,22,29
Kelly Oubre Jr.,0.319,0.552,0.417,0.714,0.31,0.31,0.718,143,48,14,71,84,71
LeBron James,0.316,0.614,0.227,0.462,0.36,0.278,0.721,145,22,26,50,54,68
Russell Westbrook,0.312,0.466,0.278,0.3,0.355,0.294,0.707,148,18,10,31,51,75
Jabari Smith Jr.,0.308,0.429,0.333,0.261,0.391,0.316,0.857,49,21,23,46,79,42
Ja Morant,0.308,0.542,0.393,0.5,0.35,0.386,0.743,192,89,10,40,44,167
Paolo Banchero,0.299,0.605,0.375,0.359,0.304,0.25,0.732,119,40,39,23,32,127
John Wall,0.298,0.638,0.45,0.355,0.15,0.289,0.658,69,20,31,20,38,76
Jalen Smith,0.289,0.662,0.286,0.214,0.37,0.243,0.765,77,14,14,46,37,51
John Collins,0.285,0.702,0.469,0.4,0.2,0.184,0.845,94,32,10,30,38,58
Scottie Barnes,0.283,0.577,0.167,0.346,0.364,0.343,0.724,111,30,26,33,35,29
Killian Hayes,0.28,0.278,0.446,0.368,0.2,0.406,0.842,54,56,19,30,32,19
Giannis Antetokounmpo,0.275,0.664,0.268,0.419,0.241,0.222,0.608,238,41,31,29,27,212
Bol Bol,0.268,0.8,0.452,0.231,0.5,0.333,0.767,100,31,13,22,21,43
Dennis Smith Jr.,0.22,0.562,0.381,0.3,0.364,0.316,0.5,73,21,10,11,19,12
